sample,count
gold_subject_000092_t1_in_atlas_copy2,2
gold_subject_000092_t1_in_atlas_copy3,2
gold_subject_000106_atlas_in_t1_copy1,3
gold_subject_000106_atlas_in_t1_copy2,3
gold_subject_000106_atlas_in_t1_copy3,2
gold_subject_000106_t1_in_atlas_copy1,3
gold_subject_000106_t1_in_atlas_copy2,3
gold_subject_000106_t1_in_atlas_copy3,3
gold_subject_000108_atlas_in_t1_copy1,3
gold_subject_000108_atlas_in_t1_copy2,2
gold_subject_000108_atlas_in_t1_copy3,2
gold_subject_000108_t1_in_atlas_copy1,3
gold_subject_000108_t1_in_atlas_copy2,2
gold_subject_000108_t1_in_atlas_copy3,3
gold_subject_000109_atlas_in_t1_copy1,3
gold_subject_000109_atlas_in_t1_copy2,2
gold_subject_000109_atlas_in_t1_copy3,3
gold_subject_000109_t1_in_atlas_copy1,3
gold_subject_000109_t1_in_atlas_copy2,2
gold_subject_000109_t1_in_atlas_copy3,3
gold_subject_000112_atlas_in_t1_copy1,2
gold_subject_000112_atlas_in_t1_copy2,3
gold_subject_000112_atlas_in_t1_copy3,3
gold_subject_000112_t1_in_atlas_copy1,3
gold_subject_000112_t1_in_atlas_copy2,2
gold_subject_000112_t1_in_atlas_copy3,3
gold_subject_000116_atlas_in_t1_copy1,3
gold_subject_000116_atlas_in_t1_copy2,3
gold_subject_000116_atlas_in_t1_copy3,3
gold_subject_000116_t1_in_atlas_copy1,3
gold_subject_000116_t1_in_atlas_copy2,3
gold_subject_000116_t1_in_atlas_copy3,3
gold_subject_000120_atlas_in_t1_copy1,3
gold_subject_000120_atlas_in_t1_copy2,3
gold_subject_000120_atlas_in_t1_copy3,3
gold_subject_000120_t1_in_atlas_copy1,3
gold_subject_000120_t1_in_atlas_copy2,3
gold_subject_000120_t1_in_atlas_copy3,3
gold_subject_000121_atlas_in_t1_copy1,2
gold_subject_000121_atlas_in_t1_copy2,3
gold_subject_000121_atlas_in_t1_copy3,3
gold_subject_000121_t1_in_atlas_copy1,3
gold_subject_000121_t1_in_atlas_copy2,2
gold_subject_000121_t1_in_atlas_copy3,3
gold_subject_000124_atlas_in_t1_copy1,3
gold_subject_000124_atlas_in_t1_copy2,3
gold_subject_000124_atlas_in_t1_copy3,3
gold_subject_000124_t1_in_atlas_copy1,3
gold_subject_000124_t1_in_atlas_copy2,2
gold_subject_000124_t1_in_atlas_copy3,3
gold_subject_000125_atlas_in_t1_copy1,2
gold_subject_000125_atlas_in_t1_copy2,3
gold_subject_000125_atlas_in_t1_copy3,3
gold_subject_000125_t1_in_atlas_copy1,3
gold_subject_000125_t1_in_atlas_copy2,3
gold_subject_000125_t1_in_atlas_copy3,3
gold_subject_000127_atlas_in_t1_copy1,3
gold_subject_000127_atlas_in_t1_copy2,3
gold_subject_000127_atlas_in_t1_copy3,3
gold_subject_000127_t1_in_atlas_copy1,2
gold_subject_000127_t1_in_atlas_copy2,3
gold_subject_000127_t1_in_atlas_copy3,3
gold_subject_000129_atlas_in_t1_copy1,3
gold_subject_000129_atlas_in_t1_copy2,3
gold_subject_000129_atlas_in_t1_copy3,3
gold_subject_000129_t1_in_atlas_copy1,2
gold_subject_000129_t1_in_atlas_copy2,3
gold_subject_000129_t1_in_atlas_copy3,3
gold_subject_000133_atlas_in_t1_copy1,3
gold_subject_000133_atlas_in_t1_copy2,2
gold_subject_000133_atlas_in_t1_copy3,3
gold_subject_000133_t1_in_atlas_copy1,3
gold_subject_000133_t1_in_atlas_copy2,3
gold_subject_000133_t1_in_atlas_copy3,3
gold_subject_000142_atlas_in_t1_copy1,3
gold_subject_000142_atlas_in_t1_copy2,3
gold_subject_000142_atlas_in_t1_copy3,3
gold_subject_000142_t1_in_atlas_copy1,3
gold_subject_000142_t1_in_atlas_copy2,3
gold_subject_000142_t1_in_atlas_copy3,3
gold_subject_000146_atlas_in_t1_copy1,2
gold_subject_000146_atlas_in_t1_copy2,3
gold_subject_000146_atlas_in_t1_copy3,3
gold_subject_000146_t1_in_atlas_copy1,3
gold_subject_000146_t1_in_atlas_copy2,3
gold_subject_000146_t1_in_atlas_copy3,3
gold_subject_000150_atlas_in_t1_copy1,3
gold_subject_000150_atlas_in_t1_copy2,3
gold_subject_000150_atlas_in_t1_copy3,3
gold_subject_000150_t1_in_atlas_copy1,3
gold_subject_000150_t1_in_atlas_copy2,3
gold_subject_000150_t1_in_atlas_copy3,3
gold_subject_000154_atlas_in_t1_copy1,3
gold_subject_000154_atlas_in_t1_copy2,3
gold_subject_000154_atlas_in_t1_copy3,3
gold_subject_000154_t1_in_atlas_copy1,3
gold_subject_000154_t1_in_atlas_copy2,3
gold_subject_000154_t1_in_atlas_copy3,3
gold_subject_000156_atlas_in_t1_copy1,2
gold_subject_000156_atlas_in_t1_copy2,3
gold_subject_000156_atlas_in_t1_copy3,3
gold_subject_000156_t1_in_atlas_copy1,3
gold_subject_000156_t1_in_atlas_copy2,3
gold_subject_000156_t1_in_atlas_copy3,3
gold_subject_000167_atlas_in_t1_copy1,3
gold_subject_000167_atlas_in_t1_copy2,3
gold_subject_000167_atlas_in_t1_copy3,3
gold_subject_000167_t1_in_atlas_copy1,3
gold_subject_000167_t1_in_atlas_copy2,3
gold_subject_000167_t1_in_atlas_copy3,3
gold_subject_000169_atlas_in_t1_copy1,3
gold_subject_000169_atlas_in_t1_copy2,3
gold_subject_000169_atlas_in_t1_copy3,3
gold_subject_000169_t1_in_atlas_copy1,2
gold_subject_000169_t1_in_atlas_copy2,3
gold_subject_000169_t1_in_atlas_copy3,2
gold_subject_000180_atlas_in_t1_copy1,2
gold_subject_000180_atlas_in_t1_copy2,3
gold_subject_000180_atlas_in_t1_copy3,3
gold_subject_000180_t1_in_atlas_copy1,3
gold_subject_000180_t1_in_atlas_copy2,3
gold_subject_000180_t1_in_atlas_copy3,3
gold_subject_000181_atlas_in_t1_copy1,2
gold_subject_000181_atlas_in_t1_copy2,3
gold_subject_000181_atlas_in_t1_copy3,3
gold_subject_000181_t1_in_atlas_copy1,3
gold_subject_000181_t1_in_atlas_copy2,3
gold_subject_000181_t1_in_atlas_copy3,3
gold_subject_000187_atlas_in_t1_copy1,3
gold_subject_000187_atlas_in_t1_copy2,3
gold_subject_000187_atlas_in_t1_copy3,2
gold_subject_000187_t1_in_atlas_copy1,3
gold_subject_000187_t1_in_atlas_copy2,3
gold_subject_000187_t1_in_atlas_copy3,3
gold_subject_000204_atlas_in_t1_copy1,2
gold_subject_000204_atlas_in_t1_copy2,2
gold_subject_000204_atlas_in_t1_copy3,2
gold_subject_000204_t1_in_atlas_copy1,3
gold_subject_000204_t1_in_atlas_copy2,3
gold_subject_000204_t1_in_atlas_copy3,2
gold_subject_000213_atlas_in_t1_copy1,3
gold_subject_000213_atlas_in_t1_copy2,3
gold_subject_000213_atlas_in_t1_copy3,3
gold_subject_000213_t1_in_atlas_copy1,3
gold_subject_000213_t1_in_atlas_copy2,2
gold_subject_000213_t1_in_atlas_copy3,3
gold_subject_000215_atlas_in_t1_copy1,3
gold_subject_000215_atlas_in_t1_copy2,3
gold_subject_000215_atlas_in_t1_copy3,3
gold_subject_000215_t1_in_atlas_copy1,3
gold_subject_000215_t1_in_atlas_copy2,3
gold_subject_000215_t1_in_atlas_copy3,3
gold_subject_000216_atlas_in_t1_copy1,3
gold_subject_000216_atlas_in_t1_copy2,3
gold_subject_000216_atlas_in_t1_copy3,3
gold_subject_000216_t1_in_atlas_copy1,3
gold_subject_000216_t1_in_atlas_copy2,3
gold_subject_000216_t1_in_atlas_copy3,3
gold_subject_000222_atlas_in_t1_copy1,3
gold_subject_000222_atlas_in_t1_copy2,3
gold_subject_000222_atlas_in_t1_copy3,2
gold_subject_000222_t1_in_atlas_copy1,3
gold_subject_000222_t1_in_atlas_copy2,3
gold_subject_000222_t1_in_atlas_copy3,3
gold_subject_000224_atlas_in_t1_copy1,2
gold_subject_000224_atlas_in_t1_copy2,3
gold_subject_000224_atlas_in_t1_copy3,3
gold_subject_000224_t1_in_atlas_copy1,3
gold_subject_000224_t1_in_atlas_copy2,3
gold_subject_000224_t1_in_atlas_copy3,2
gold_subject_000225_atlas_in_t1_copy1,3
gold_subject_000225_atlas_in_t1_copy2,3
gold_subject_000225_atlas_in_t1_copy3,2
gold_subject_000225_t1_in_atlas_copy1,3
gold_subject_000225_t1_in_atlas_copy2,3
gold_subject_000225_t1_in_atlas_copy3,3
gold_subject_000227_atlas_in_t1_copy1,3
gold_subject_000227_atlas_in_t1_copy2,2
gold_subject_000227_atlas_in_t1_copy3,3
gold_subject_000227_t1_in_atlas_copy1,3
gold_subject_000227_t1_in_atlas_copy2,2
gold_subject_000227_t1_in_atlas_copy3,2
gold_subject_000233_atlas_in_t1_copy1,2
gold_subject_000233_atlas_in_t1_copy2,2
gold_subject_000233_atlas_in_t1_copy3,2
gold_subject_000233_t1_in_atlas_copy1,3
gold_subject_000233_t1_in_atlas_copy2,3
gold_subject_000233_t1_in_atlas_copy3,3
gold_subject_000239_atlas_in_t1_copy1,3
gold_subject_000239_atlas_in_t1_copy2,2
gold_subject_000239_atlas_in_t1_copy3,3
gold_subject_000239_t1_in_atlas_copy1,2
gold_subject_000239_t1_in_atlas_copy2,3
gold_subject_000239_t1_in_atlas_copy3,3
